Date,Distance walking,Step count
2022-11-27,6.820,9690.000
2022-11-28,8.579,13296.000
2022-11-29,4.094,6825.000
2022-11-30,5.969,10746.000
2022-12-01,3.896,6386.000
2022-12-02,8.533,12926.000
2022-12-03,5.834,9445.000
2022-12-04,6.626,9770.000
2022-12-05,4.936,7839.000
2022-12-06,6.571,10255.000
2022-12-07,7.839,12343.000
2022-12-08,9.762,14616.000
2022-12-09,1.422,2100.000
2022-12-10,4.322,6739.000
2022-12-11,3.168,4583.000
2022-12-12,11.011,16304.000
2022-12-13,9.761,14927.000
2022-12-14,5.594,8445.000
2022-12-15,4.431,6577.000
2022-12-16,3.178,4913.000
2022-12-17,7.311,11256.145
2022-12-18,5.218,8002.855
2022-12-19,5.976,9471.000
2022-12-20,5.582,9203.000
2022-12-21,5.633,8758.000
2022-12-22,3.844,6011.000
2022-12-23,5.698,8709.000
2022-12-24,7.792,11636.000
2022-12-25,5.967,9051.000
2022-12-26,3.216,4847.000
2022-12-27,2.820,4330.000
2022-12-28,6.712,10259.000
2022-12-29,4.997,7414.000
2022-12-30,8.819,13284.000
2022-12-31,8.409,12690.486
2023-01-01,5.162,7684.514
2023-01-02,3.247,4896.000
2023-01-03,4.238,6252.000
2023-01-04,7.901,11422.732
2023-01-05,2.062,3115.268
2023-01-06,2.571,3779.000
2023-01-07,5.054,7609.995
2023-01-08,10.583,15668.005
2023-01-09,3.399,4994.896
2023-01-10,4.934,7048.104
2023-01-11,4.491,6252.000
2023-01-12,2.940,4318.000
2023-01-13,2.708,3761.000
2023-01-14,6.874,10207.000
2023-01-15,3.710,5442.000
2023-01-16,8.405,12455.000
2023-01-17,2.591,3812.000
2023-01-18,3.973,5969.000
2023-01-19,5.301,7681.000
2023-01-20,5.249,7769.000
2023-01-21,0.143,208.000
2023-01-22,1.772,2771.000
2023-01-23,1.000,1535.000
2023-01-24,5.177,7674.000
2023-01-25,8.660,14108.000
2023-01-26,7.844,11886.000
2023-01-27,7.332,11301.000
2023-01-28,0.584,927.000
2023-01-29,11.042,16744.000
2023-01-30,2.675,4154.000
2023-01-31,3.433,4971.000
2023-02-01,5.641,8547.000
2023-02-02,4.225,6584.000
2023-02-03,9.803,14001.000
2023-02-04,5.851,9306.000
2023-02-05,5.189,8176.000
2023-02-06,9.879,14922.599
2023-02-07,9.722,14334.401
2023-02-08,9.730,15557.000
2023-02-09,6.727,10673.000
2023-02-10,2.400,3797.000
2023-02-11,4.021,5985.000
2023-02-12,5.871,9160.000
2023-02-13,9.646,14861.000
2023-02-14,12.070,17848.000
2023-02-15,9.754,14966.000
2023-02-16,8.765,13457.000
2023-02-17,6.153,9320.000
2023-02-18,2.779,4288.000
2023-02-19,5.481,8522.000
2023-02-20,6.846,11196.000
2023-02-21,8.752,14575.000
2023-02-22,5.428,8389.000
2023-02-23,6.772,9729.000
2023-02-24,6.412,9139.000
2023-02-25,8.969,13485.000
2023-02-26,3.798,5574.000
2023-02-27,9.322,14560.000
2023-02-28,5.690,8798.000
2023-03-01,4.479,6916.000
2023-03-02,8.617,13284.000
2023-03-03,7.769,12266.000
2023-03-04,8.136,12960.000
2023-03-05,11.883,17757.000
2023-03-06,5.467,7950.000
2023-03-07,1.980,2919.000
2023-03-08,7.527,11031.000
2023-03-09,1.330,1959.000
2023-03-10,5.966,8649.000
2023-03-11,4.917,6930.000
2023-03-12,1.355,1968.000
2023-03-13,5.383,7622.000
2023-03-14,4.550,6554.000
2023-03-15,5.664,7921.000
2023-03-16,0.498,748.000
2023-03-17,9.487,14129.000
2023-03-18,2.809,4237.000
2023-03-19,3.215,4858.000
2023-03-20,8.281,12037.000
2023-03-21,6.920,9909.000
2023-03-22,10.987,16370.000
2023-03-23,3.053,4149.000
2023-03-24,5.228,7554.000
2023-03-25,9.290,13618.000
2023-03-26,0.080,118.000
2023-03-27,6.663,10476.000
2023-03-28,9.843,14862.000
2023-03-29,5.919,8540.000
2023-03-30,4.937,7263.000
2023-03-31,1.836,2621.000
2023-04-01,9.534,13952.000
